ADSC    039999999999    A
VTIC    02      J
DATE    H210310115551           :
NGTF          BASE              <
LTARF         BASE              F
EAST    022719001       %
EASF01  022719001       8
EASF02  000000000       #
EASF03  000000000       $
EASF04  000000000       %
EASF05  000000000       &
EASF06  000000000       '
EASF07  000000000       (
EASF08  000000000       )
EASF09  000000000       *
EASF10  000000000       "
EASD01  012970758       G
EASD02  004786755       K
EASD03  001424492       <
EASD04  003536996       L
EAIT    000108022       R
ERQ1    000026605       N
ERQ2    000000105       B
ERQ3    000070468       V
ERQ4    010376751       \
IRMS1   003     1
URMS1   229     G
PREF    06      E
PCOUP   06      _
SINSTS  00000   F
SMAXSN  H210310094942   02058   ?
SMAXSN-1        H210309192738   04507   (
SINSTI  00623   G
SMAXIN  H210310111438   00753   +
SMAXIN-1        H210309142429   02149   V
CCASN   H210310113000   00000   '
CCASN-1 H210310110000   00000   B
CCAIN   H210310113000   00308   (
CCAIN-1 H210310110000   00214   ?
UMOY1   H210310115000   226     &
STGE    003AC301        P
MSG1    PAS DE          MESSAGE                 <
PRM     99999999999999  =
RELAIS  000     B
NTARF   01      N
NJOURF  00      &
NJOURF+1        00      B
PJOURF+1        00008001 NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE NONUTILE      9
